unique_key,complaint_type,complaint_description,owning_department,source,status,status_change_date,created_date,last_update_date,close_date,incident_address,street_number,street_name,city,incident_zip,county,state_plane_x_coordinate,state_plane_y_coordinate,latitude,longitude,location,council_district_code,map_page,map_tile
18-00401619,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2018-11-25 13:55:00 UTC,2018-11-24 15:31:00 UTC,2018-11-25 13:55:00 UTC,2018-11-25 13:55:00 UTC,"LAGO VISTA DR & HIGHLAND DR, AUSTIN, TX",,LAGO VISTA DR & HIGHLAND DR,AUSTIN,78734,TRAVIS,3057658.98,10115467.78,30.3944852,-97.91915164,"(30.3944852, -97.91915164)",,490H,WZ33
18-00401707,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2018-11-25 12:28:00 UTC,2018-11-24 16:58:00 UTC,2018-11-25 12:28:00 UTC,2018-11-25 12:28:00 UTC,"3703 HIGHLAND DR, AUSTIN, TX 78734",3703,HIGHLAND,AUSTIN,78734,TRAVIS,3057878.739,10114537.95,30.39191601,-97.91851879,"(30.39191601, -97.91851879)",,490H,WZ33
18-00401710,ACLONAG,Loose Dog,Animal Services Office,Phone,Duplicate (closed),2018-11-25 12:28:00 UTC,2018-11-24 17:02:00 UTC,2018-11-25 12:28:00 UTC,2018-11-25 12:28:00 UTC,"3705 HIGHLAND DR, AUSTIN, TX 78734",3705,HIGHLAND,AUSTIN,78734,TRAVIS,3057858.475,10114588.96,30.39205747,-97.91857953,"(30.39205747, -97.91857953)",,490H,WZ33
16-00027639,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2016-02-06 17:48:00 UTC,2016-02-06 14:56:00 UTC,2016-02-06 16:47:00 UTC,2016-02-06 17:48:00 UTC,"221 BELLA RIVA DR, AUSTIN, TX 78734",221,BELLA RIVA,AUSTIN,78734,TRAVIS,3047797.521,10112816.38,30.38778116,-97.95060332,"(30.38778116, -97.95060332)",,490J,WY32
14-00191658,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-09-09 17:52:58 UTC,2014-09-09 09:00:18 UTC,2014-09-09 16:55:08 UTC,2014-09-09 17:52:58 UTC,"15502 ULLMAN DR, AUSTIN, TX",15502,ULLMAN,AUSTIN,78734,TRAVIS,3051475.63405886,10112514.9169792,30.38673532,-97.93896111,"(30.38673532, -97.93896111)",,490K,WY32
14-00234990,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-11-06 12:18:31 UTC,2014-10-30 10:54:25 UTC,2014-11-06 11:20:53 UTC,2014-11-06 12:18:31 UTC,"15502 ULLMAN DR, AUSTIN, TX",15502,ULLMAN,AUSTIN,78734,TRAVIS,3051475.63405886,10112514.9169792,30.38673532,-97.93896111,"(30.38673532, -97.93896111)",,490K,WY32
14-00236886,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-11-06 12:18:32 UTC,2014-11-01 12:43:02 UTC,2014-11-06 11:20:54 UTC,2014-11-06 12:18:32 UTC,"15502 ULLMAN DR, AUSTIN, TX",15502,ULLMAN,AUSTIN,78734,TRAVIS,3051475.63405886,10112514.9169792,30.38673532,-97.93896111,"(30.38673532, -97.93896111)",,490K,WY32
17-00370135,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2017-12-14 12:22:13 UTC,2017-12-13 14:48:39 UTC,2017-12-14 12:22:13 UTC,2017-12-14 12:22:13 UTC,"15505 ULLMAN DR, AUSTIN, TX 78734",15505,ULLMAN,AUSTIN,78734,TRAVIS,3051396.50102932,10112089.9998223,30.38557192,-97.93924103,"(30.38557192, -97.93924103)",,490K,WY32
17-00159961,ACLONAG,Loose Dog,Animal Services Office,Phone,Open,2017-06-10 13:35:22 UTC,2017-06-10 13:35:22 UTC,2017-06-10 13:37:04 UTC,,"15510 ULLMAN DR, AUSTIN, TX 78734",15510,ULLMAN,AUSTIN,78734,TRAVIS,3051554.25275040,10112587.9998047,30.38693157,-97.93870684,"(30.38693157, -97.93870684)",,490K,WY32
17-00363340,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2017-12-06 18:50:09 UTC,2017-12-06 16:05:14 UTC,2017-12-06 18:50:09 UTC,2017-12-06 18:50:09 UTC,"15505 ULLMAN DR, AUSTIN, TX 78734",15505,ULLMAN,AUSTIN,78734,TRAVIS,3051396.50102932,10112089.9998223,30.38557192,-97.93924103,"(30.38557192, -97.93924103)",,490K,WY32
18-00112638,ACLONAG,Loose Dog,Animal Services Office,Phone,Open,2018-04-18 11:57:28 UTC,2018-04-18 11:57:28 UTC,2018-04-18 11:57:28 UTC,,"15406 ULLMAN DR, AUSTIN, TX 78734",15406,ULLMAN,AUSTIN,78734,TRAVIS,3051831.14281394,10111948.4983995,30.38515721,-97.93787254,"(30.38515721, -97.93787254)",,490K,WY32
17-00384324,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2017-12-30 15:55:05 UTC,2017-12-30 13:22:04 UTC,2017-12-30 15:55:05 UTC,2017-12-30 15:55:05 UTC,"15502 ULLMAN DR, AUSTIN, TX 78734",15502,ULLMAN,AUSTIN,78734,TRAVIS,3051572.70521671,10112074.3018678,30.38551834,-97.9386834,"(30.38551834, -97.9386834)",,490K,WY32
18-00118423,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2018-04-24 12:35:07 UTC,2018-04-23 16:32:57 UTC,2018-04-24 12:35:07 UTC,2018-04-24 12:35:07 UTC,"15502 ULLMAN DR, AUSTIN, TX 78734",15502,ULLMAN,AUSTIN,78734,TRAVIS,3051572.70521671,10112074.3018678,30.38551834,-97.9386834,"(30.38551834, -97.9386834)",,490K,WY32
18-00118454,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2018-10-16 15:56:00 UTC,2018-04-23 16:49:00 UTC,2018-10-16 15:56:00 UTC,2018-10-16 15:56:00 UTC,"15500 ULLMAN DR, AUSTIN, TX 78734",15500,ULLMAN,AUSTIN,78734,TRAVIS,3051502.882,10112504.01,30.38670371,-97.93887546,"(30.38670371, -97.93887546)",,490K,WY32
16-00145713,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2016-06-13 17:41:44 UTC,2016-06-13 13:43:38 UTC,2016-06-13 16:40:59 UTC,2016-06-13 17:41:44 UTC,"SUTTON DR & LAWRENCE DR, AUSTIN, TX 78734",,SUTTON DR & LAWRENCE DR,AUSTIN,78734,TRAVIS,3052747.64135092,10112178.148231,30.38573421,-97.93495083,"(30.38573421, -97.93495083)",,490L,WZ32
16-00185799,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2016-07-21 11:48:00 UTC,2016-07-20 12:13:00 UTC,2016-07-21 10:48:00 UTC,2016-07-21 11:48:00 UTC,"GENERAL WILLIAMSON DR & SCOTT DR, AUSTIN, TX 78734",,GENERAL WILLIAMSON DR & SCOTT DR,AUSTIN,78734,TRAVIS,3053556.252,10113977.0,30.39063123,-97.93226376,"(30.39063123, -97.93226376)",,490L,WZ32
16-00189465,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2016-07-27 11:40:18 UTC,2016-07-24 14:04:56 UTC,2016-07-27 10:43:00 UTC,2016-07-27 11:40:18 UTC,"14942 GENERAL WILLIAMSON DR, AUSTIN, TX 78734",14942,GENERAL WILLIAMSON,AUSTIN,78734,TRAVIS,3054783.79041024,10112971.9873398,30.38779559,-97.92844021,"(30.38779559, -97.92844021)",,490L,WZ32
16-00255418,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2016-09-28 12:46:36 UTC,2016-09-27 11:56:32 UTC,2016-09-28 11:46:00 UTC,2016-09-28 12:46:36 UTC,"SUTTON DR & LAWRENCE DR, AUSTIN, TX 78734",,SUTTON DR & LAWRENCE DR,AUSTIN,78734,TRAVIS,3052747.64135092,10112178.148231,30.38573421,-97.93495083,"(30.38573421, -97.93495083)",,490L,WZ32
14-00039607,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-03-13 13:18:00 UTC,2014-03-07 14:47:00 UTC,2014-03-13 12:20:00 UTC,2014-03-13 13:18:00 UTC,"2701 SHERMAN CT, AUSTIN, TX",2701,SHERMAN,AUSTIN,78734,TRAVIS,3053157.22,10112131.65,30.3855821,-97.93365532,"(30.3855821, -97.93365532)",,490L,WZ32
14-00017161,ACLONAG,Loose Dog,Animal Services Office,Phone,Open,2014-01-29 16:56:19 UTC,2014-01-29 16:56:19 UTC,2014-01-29 16:56:19 UTC,,"2701 SHERMAN CT, AUSTIN, TX",2701,SHERMAN,AUSTIN,78734,TRAVIS,3053157.21958570,10112131.6461023,30.3855821,-97.93365532,"(30.3855821, -97.93365532)",,490L,WZ32
14-00161055,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-08-25 20:29:00 UTC,2014-08-03 10:10:00 UTC,2014-08-25 19:31:00 UTC,2014-08-25 20:29:00 UTC,"14942 GENERAL WILLIAMSON DR, AUSTIN, TX",14942,GENERAL WILLIAMSON,AUSTIN,78734,TRAVIS,3054646.964,10112913.01,30.38764161,-97.92887811,"(30.38764161, -97.92887811)",,490L,WZ32
15-00263779,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2015-11-07 09:34:09 UTC,2015-11-04 10:32:32 UTC,2015-11-07 08:34:19 UTC,2015-11-07 09:34:09 UTC,"SUTTON DR & LAWRENCE DR, AUSTIN, TX 78734",,SUTTON DR & LAWRENCE DR,AUSTIN,78734,TRAVIS,3052747.64135092,10112178.148231,30.38573421,-97.93495083,"(30.38573421, -97.93495083)",,490L,WZ32
17-00183405,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2017-07-20 13:09:55 UTC,2017-06-30 12:58:08 UTC,2017-07-20 12:09:57 UTC,2017-07-20 13:09:55 UTC,"15111 BLANCHARD DR, AUSTIN, TX 78734",15111,BLANCHARD,AUSTIN,78734,TRAVIS,3054367.70103758,10113964.8397363,30.39054963,-97.92969153,"(30.39054963, -97.92969153)",,490L,WZ32
17-00120781,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2017-05-09 14:33:21 UTC,2017-05-09 14:20:05 UTC,2017-05-09 14:33:21 UTC,2017-05-09 14:33:21 UTC,"15100 LARIAT TRL, AUSTIN, TX 78734",15100,LARIAT,AUSTIN,78734,TRAVIS,3054079.04237333,10112441.2389822,30.38637845,-97.93071122,"(30.38637845, -97.93071122)",,490L,WZ32
19-00054196,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2019-02-13 14:01:25 UTC,2019-02-13 12:03:55 UTC,2019-02-13 14:01:25 UTC,2019-02-13 14:01:25 UTC,"15105 LARIAT TRL, AUSTIN, TX 78734",15105,LARIAT,AUSTIN,78734,TRAVIS,3053857.24110476,10112407.2395799,30.38629816,-97.93141683,"(30.38629816, -97.93141683)",,490L,WZ32
19-00344914,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2019-09-09 09:04:48 UTC,2019-09-09 08:50:00 UTC,2019-09-09 09:04:48 UTC,2019-09-09 09:04:48 UTC,"15301 SUTTON DR, AUSTIN, TX 78734",15301,SUTTON,AUSTIN,78734,TRAVIS,3052618.25231606,10112063.9980955,30.38542809,-97.9353689,"(30.38542809, -97.9353689)",,490L,WZ32
19-00088807,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2019-03-19 16:04:54 UTC,2019-03-13 09:54:37 UTC,2019-03-19 16:04:54 UTC,2019-03-19 16:04:54 UTC,"3101 SCOTT DR, AUSTIN, TX 78734",3101,SCOTT,AUSTIN,78734,TRAVIS,3053576.06345774,10113972.9336428,30.39061889,-97.93220122,"(30.39061889, -97.93220122)",,490L,WZ32
18-00357572,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2018-10-22 17:04:00 UTC,2018-10-21 13:33:00 UTC,2018-10-22 17:04:00 UTC,2018-10-22 17:04:00 UTC,"15107 LARIAT TRL, AUSTIN, TX 78734",15107,LARIAT,AUSTIN,78734,TRAVIS,3053798.96,10112442.86,30.38639953,-97.93159919,"(30.38639953, -97.93159919)",,490L,WZ32
19-00322971,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2019-08-23 12:35:26 UTC,2019-08-23 10:47:53 UTC,2019-08-23 12:35:26 UTC,2019-08-23 12:35:26 UTC,"LAWRENCE DR & SUTTON DR, AUSTIN, TX",,LAWRENCE DR & SUTTON DR,AUSTIN,78734,TRAVIS,3052747.64126093,10112178.1473233,30.38573421,-97.93495083,"(30.38573421, -97.93495083)",,490L,WZ32
19-00312145,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2019-08-16 10:20:00 UTC,2019-08-15 15:17:12 UTC,2019-08-16 10:20:00 UTC,2019-08-16 10:20:00 UTC,"SUTTON DR & LAWRENCE DR, AUSTIN, TX",,SUTTON DR & LAWRENCE DR,AUSTIN,78734,TRAVIS,3052747.64126093,10112178.1473233,30.38573421,-97.93495083,"(30.38573421, -97.93495083)",,490L,WZ32
16-00118511,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2016-05-18 10:33:32 UTC,2016-05-17 14:02:15 UTC,2016-05-18 09:29:53 UTC,2016-05-18 10:33:32 UTC,"3424 SCENIC OVERLOOK TRL, AUSTIN, TX 78734",3424,SCENIC OVERLOOK,AUSTIN,78734,TRAVIS,3057430.89165013,10114059.3585719,30.39062712,-97.91997183,"(30.39062712, -97.91997183)",,490M,WZ32
15-00074722,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2015-04-21 12:08:34 UTC,2015-04-12 12:13:28 UTC,2015-04-21 11:11:31 UTC,2015-04-21 12:08:34 UTC,"BROKEN BOW TRL & BRASS BUTTONS TRL, AUSTIN, TX",,BROKEN BOW TRL & BRASS BUTTONS TRL,AUSTIN,78734,TRAVIS,3057222.87,10112287.56,30.38576892,-97.92075333,"(30.38576892, -97.92075333)",,490M,WZ32
16-00008023,ACLONAG,Loose Dog,Animal Services Office,Phone,Open,2016-01-12 15:58:44 UTC,2016-01-12 15:58:44 UTC,2016-01-12 15:58:44 UTC,,"14808 GENERAL WILLIAMSON DR, AUSTIN, TX 78734",14808,GENERAL WILLIAMSON,AUSTIN,78734,TRAVIS,3055403.25028164,10112517.9974108,30.38651075,-97.92650714,"(30.38651075, -97.92650714)",,490M,WZ32
18-00021534,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2018-01-24 16:01:05 UTC,2018-01-23 15:42:04 UTC,2018-01-24 16:01:05 UTC,2018-01-24 16:01:05 UTC,"14420 CANYON BLUFF CT, AUSTIN, TX 78734",14420,CANYON BLUFF,AUSTIN,78734,TRAVIS,3057524.09097216,10112910.6189878,30.38746372,-97.91975535,"(30.38746372, -97.91975535)",,490M,WZ32
19-00115045,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2019-04-03 14:38:05 UTC,2019-04-02 14:44:24 UTC,2019-04-03 14:38:04 UTC,2019-04-03 14:38:05 UTC,"3417 SCENIC OVERLOOK TRL, AUSTIN, TX 78734",3417,SCENIC OVERLOOK,AUSTIN,78734,TRAVIS,3057328.47234155,10113736.0795112,30.38974454,-97.92031884,"(30.38974454, -97.92031884)",,490M,WZ32
19-00166053,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2019-07-16 15:42:24 UTC,2019-05-08 06:32:11 UTC,2019-07-16 15:42:24 UTC,2019-07-16 15:42:24 UTC,"GENERAL WILLIAMSON DR & BROKEN BOW TRL, AUSTIN, TX",,GENERAL WILLIAMSON DR & BROKEN BOW TRL,AUSTIN,78734,TRAVIS,3055481.23164872,10112368.5980038,30.38609542,-97.92627013,"(30.38609542, -97.92627013)",,490M,WZ32
18-00291100,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2018-09-02 11:42:00 UTC,2018-09-02 07:56:00 UTC,2018-09-02 11:42:00 UTC,2018-09-02 11:42:00 UTC,"BRASS BUTTONS TRL & CHISHOLM TRL, AUSTIN, TX 78734",,BRASS BUTTONS TRL & CHISHOLM TRL,AUSTIN,78734,TRAVIS,3057222.87,10112287.56,30.38576891,-97.92075333,"(30.38576891, -97.92075333)",,490M,WZ32
19-00122576,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2019-04-09 16:02:58 UTC,2019-04-08 10:44:28 UTC,2019-04-09 16:02:58 UTC,2019-04-09 16:02:58 UTC,"3506 CLOUDY RIDGE RD, AUSTIN, TX 78734",3506,CLOUDY RIDGE,AUSTIN,78734,TRAVIS,3058041.25038707,10113743.997081,30.38972378,-97.91805814,"(30.38972378, -97.91805814)",,490M,WZ32
16-00251336,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2016-09-28 14:50:13 UTC,2016-09-23 10:27:53 UTC,2016-09-28 13:49:37 UTC,2016-09-28 14:50:13 UTC,"16026 AGUA VISTA, AUSTIN, TX 78734",16026,AGUA,AUSTIN,78734,TRAVIS,3046988.68219547,10109952.3199362,30.37995554,-97.95336237,"(30.37995554, -97.95336237)",,490N,WY32
14-00003772,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-01-08 13:02:00 UTC,2014-01-07 09:24:00 UTC,2014-01-08 12:04:00 UTC,2014-01-08 13:02:00 UTC,"BUFFALO GAP RD & LAKE LOOP, LAKEWAY, TX",,BUFFALO GAP RD & LAKE LOOP,LAKEWAY,78734,TRAVIS,3045812.84999999,10111219.65,30.38350852,-97.95700463,"(30.38350852, -97.95700463)",,490N,WY32
14-00146098,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-10-02 19:12:55 UTC,2014-07-17 10:39:27 UTC,2014-10-02 18:15:09 UTC,2014-10-02 19:12:55 UTC,"16120 AQUA AZUL PATH, LAKEWAY, TX",16120,AQUA AZUL,LAKEWAY,78734,TRAVIS,3046904.88,10110303.38,30.38092553,-97.95360426,"(30.38092553, -97.95360426)",,490N,WY32
15-00047111,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2015-04-22 17:13:09 UTC,2015-03-11 19:37:20 UTC,2015-04-22 16:16:07 UTC,2015-04-22 17:13:09 UTC,"16216 MONKS MOUNTAIN DR, LAKEWAY, TX",16216,MONKS MOUNTAIN,LAKEWAY,78734,TRAVIS,3045848.591626,10109857.6429697,30.37976229,-97.95698357,"(30.37976229, -97.95698357)",,490N,WY32
16-00214707,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2016-08-21 08:35:26 UTC,2016-08-19 12:13:31 UTC,2016-08-21 07:35:31 UTC,2016-08-21 08:35:26 UTC,"1909 N FM 620 RD, AUSTIN, TX 78734",1909,620,AUSTIN,78734,TRAVIS,3050360.25199905,10110834.9993463,30.38218323,-97.94261229,"(30.38218323, -97.94261229)",,490P,WY32
14-00003121,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-01-07 14:49:00 UTC,2014-01-06 11:40:00 UTC,2014-01-07 13:51:00 UTC,2014-01-07 14:49:00 UTC,"STROUP CIR & PYRAMID DR, AUSTIN, TX",,STROUP CIR & PYRAMID DR,AUSTIN,78734,TRAVIS,3050391.52,10109947.72,30.37974228,-97.94257362,"(30.37974228, -97.94257362)",,490P,WY32
14-00202384,ACLONAG,Loose Dog,Animal Services Office,Phone,Open,2014-09-22 08:00:43 UTC,2014-09-22 08:00:43 UTC,2014-09-22 08:01:20 UTC,,"15411 ULLMAN DR, AUSTIN, TX",15411,ULLMAN,AUSTIN,78734,TRAVIS,3051695.02904912,10111669.7377693,30.38439896,-97.93832316,"(30.38439896, -97.93832316)",,490P,WY32
14-00209101,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-09-30 13:27:27 UTC,2014-09-30 08:13:52 UTC,2014-09-30 12:29:41 UTC,2014-09-30 13:27:27 UTC,"15411 ULLMAN DR, AUSTIN, TX",15411,ULLMAN,AUSTIN,78734,TRAVIS,3051695.02904912,10111669.7377693,30.38439896,-97.93832316,"(30.38439896, -97.93832316)",,490P,WY32
15-00123112,ACLONAG,Loose Dog,Animal Services Office,Phone,Open,2015-06-03 15:43:47 UTC,2015-06-03 15:43:47 UTC,2015-06-03 15:43:47 UTC,,"STORM DR & PYRAMID DR, AUSTIN, TX",,STORM DR & PYRAMID DR,AUSTIN,78734,TRAVIS,3050994.77,10111667.99,30.38443559,-97.94054362,"(30.38443559, -97.94054362)",,490P,WY32
15-00216445,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2015-09-11 08:23:19 UTC,2015-09-10 13:51:49 UTC,2015-09-11 07:23:20 UTC,2015-09-11 08:23:19 UTC,"1700 N FM 620 RD, AUSTIN, TX 78734",1700,620,AUSTIN,78734,TRAVIS,3049574.92202422,10110543.389072,30.38142798,-97.94512218,"(30.38142798, -97.94512218)",,490P,WY32
18-00000368,ACLONAG,Loose Dog,Animal Services Office,Phone,Open,2018-01-01 11:00:24 UTC,2018-01-01 11:00:24 UTC,2018-01-01 11:00:24 UTC,,"STORM DR & ULLMAN DR, AUSTIN, TX 78734",,STORM DR & ULLMAN DR,AUSTIN,78734,TRAVIS,3051616.53059466,10111521.0694902,30.38399492,-97.9385822,"(30.38399492, -97.9385822)",,490P,WY32
19-00018797,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2019-01-18 16:13:06 UTC,2019-01-17 10:49:52 UTC,2019-01-18 16:13:06 UTC,2019-01-18 16:13:06 UTC,"2101 PYRAMID DR, AUSTIN, TX 78734",2101,PYRAMID,Austin,78734,TRAVIS,3050992.39467502,10111480.4533777,30.3839202,-97.94056395,"(30.3839202, -97.94056395)",,490P,WY32
19-00236887,ACLONAG,Loose Dog,Animal Services Office,Phone,Open,2019-06-24 16:24:35 UTC,2019-06-24 16:24:35 UTC,2019-06-25 23:00:05 UTC,,"15431 STROUP CIR, AUSTIN, TX 78734",15431,STROUP,Austin,78734,TRAVIS,3050522.26702692,10109806.7223845,30.37934695,-97.94216869,"(30.37934695, -97.94216869)",,490P,WY32
16-00114846,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2016-05-14 11:07:13 UTC,2016-05-13 16:43:02 UTC,2016-05-14 10:05:59 UTC,2016-05-14 11:07:13 UTC,"2407 QUANAH PARKER TRL, AUSTIN, TX 78734",2407,QUANAH PARKER,AUSTIN,78734,TRAVIS,3054516.50137606,10110539.9972563,30.38112602,-97.92945441,"(30.38112602, -97.92945441)",,490Q,WZ32
16-00317934,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2016-12-07 11:30:48 UTC,2016-12-07 10:18:14 UTC,2016-12-07 11:30:48 UTC,2016-12-07 11:30:48 UTC,"2304 CRAZYHORSE PASS, AUSTIN, TX 78734",2304,CRAZYHORSE,AUSTIN,78734,TRAVIS,3054391.00086809,10110028.9986353,30.37972876,-97.92988734,"(30.37972876, -97.92988734)",,490Q,WZ32
16-00168748,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2016-07-12 10:16:00 UTC,2016-07-05 10:09:00 UTC,2016-07-12 09:14:00 UTC,2016-07-12 10:16:00 UTC,"2205 INDIAN CREEK RD, AUSTIN, TX 78734",2205,INDIAN CREEK,AUSTIN,78734,TRAVIS,3053839.251,10110036.0,30.37978077,-97.93163623,"(30.37978077, -97.93163623)",,490Q,WZ32
16-00293033,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2016-11-05 12:01:30 UTC,2016-11-04 10:47:21 UTC,2016-11-05 12:01:30 UTC,2016-11-05 12:01:30 UTC,"2208 QUANAH PARKER TRL, AUSTIN, TX 78734",2208,QUANAH PARKER,AUSTIN,78734,TRAVIS,3054019.50287347,10109994.9983732,30.37965736,-97.93106753,"(30.37965736, -97.93106753)",,490Q,WZ32
14-00049972,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-03-24 14:48:52 UTC,2014-03-22 08:41:08 UTC,2014-03-24 13:50:55 UTC,2014-03-24 14:48:52 UTC,"2203 QUANAH PARKER TRL, AUSTIN, TX",2203,QUANAH PARKER,AUSTIN,78734,TRAVIS,3054102.79525855,10109983.0932552,30.37961968,-97.93080426,"(30.37961968, -97.93080426)",,490Q,WZ32
14-00019524,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-02-03 12:43:52 UTC,2014-02-02 08:00:57 UTC,2014-02-03 11:45:51 UTC,2014-02-03 12:43:52 UTC,"2203 QUANAH PARKER TRL, AUSTIN, TX",2203,QUANAH PARKER,AUSTIN,78734,TRAVIS,3054102.79525855,10109983.0932552,30.37961968,-97.93080426,"(30.37961968, -97.93080426)",,490Q,WZ32
14-00016134,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-01-29 14:49:09 UTC,2014-01-27 13:31:24 UTC,2014-01-29 13:51:08 UTC,2014-01-29 14:49:09 UTC,"2203 QUANAH PARKER TRL, AUSTIN, TX",2203,QUANAH PARKER,AUSTIN,78734,TRAVIS,3054102.79525855,10109983.0932552,30.37961968,-97.93080426,"(30.37961968, -97.93080426)",,490Q,WZ32
14-00009006,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2014-01-22 19:54:37 UTC,2014-01-15 12:59:10 UTC,2014-01-22 18:56:36 UTC,2014-01-22 19:54:37 UTC,"2203 QUANAH PARKER TRL, AUSTIN, TX",2203,QUANAH PARKER,AUSTIN,78734,TRAVIS,3054102.79525855,10109983.0932552,30.37961968,-97.93080426,"(30.37961968, -97.93080426)",,490Q,WZ32
14-00260242,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2015-06-23 08:41:00 UTC,2014-12-04 15:18:00 UTC,2015-06-23 07:44:07 UTC,2015-06-23 08:41:00 UTC,"2207 QUANAH PARKER TRL, AUSTIN, TX",2207,QUANAH PARKER,AUSTIN,78734,TRAVIS,3054107.45582004,10109995.2317295,30.37965277,-97.93078866,"(30.37965277, -97.93078866)",,490Q,WZ32
15-00008432,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2015-01-19 10:42:52 UTC,2015-01-14 14:37:43 UTC,2015-01-19 09:45:29 UTC,2015-01-19 10:42:52 UTC,"2207 QUANAH PARKER TRL, AUSTIN, TX",2207,QUANAH PARKER,AUSTIN,78734,TRAVIS,3054107.45582004,10109995.2317295,30.37965277,-97.93078866,"(30.37965277, -97.93078866)",,490Q,WZ32
15-00013360,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2015-01-21 17:39:25 UTC,2015-01-21 14:26:46 UTC,2015-01-21 16:42:02 UTC,2015-01-21 17:39:25 UTC,"2300 QUANAH PARKER TRL, AUSTIN, TX",2300,QUANAH PARKER,AUSTIN,78734,TRAVIS,3054274.02247928,10110333.2333035,30.38057204,-97.93023739,"(30.38057204, -97.93023739)",,490Q,WZ32
15-00029886,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2015-03-10 09:57:43 UTC,2015-02-12 11:52:35 UTC,2015-03-10 09:00:32 UTC,2015-03-10 09:57:43 UTC,"INDIAN CREEK RD & QUANAH PARKER TRL, AUSTIN, TX",,INDIAN CREEK RD & QUANAH PARKER TRL,AUSTIN,78734,TRAVIS,3054242.16,10110705.21,30.38159648,-97.93031293,"(30.38159648, -97.93031293)",,490Q,WZ32
15-00128840,ACLONAG,Loose Dog,Animal Services Office,Phone,Closed,2015-06-14 17:42:11 UTC,2015-06-09 09:35:07 UTC,2015-06-14 16:45:17 UTC,2015-06-14 17:42:11 UTC,"2206 CRAZYHORSE PASS, AUSTIN, TX",2206,CRAZYHORSE,AUSTIN,78734,TRAVIS,3054655.41450049,10110402.9161912,30.38074093,-97.92902336,"(30.38074093, -97.92902336)",,490Q,WZ32
15-00283201,ACLONAG,Loose Dog,Animal Services Office,Phone,Open,2015-12-01 13:14:06 UTC,2015-12-01 13:14:06 UTC,2015-12-01 13:14:06 UTC,,"2803 LARIAT TRL, AUSTIN, TX 78734",2803,LARIAT,AUSTIN,78734,TRAVIS,3054703.00200297,10111571.9986125,30.38395187,-97.92879235,"(30.38395187, -97.92879235)",,490Q,WZ32
